jul 19/10:11:17.012 DEBUG2 : 		

StartSession()

jul 19/10:11:17.012 INFO   : Debug Log(info): Loading the CMSIS-DAP driver
jul 19/10:11:17.335 DEBUG2 : 		<- AcquireA2DInterface()
jul 19/10:11:17.335 DEBUG2 : 		-> AcquireEmuVectInterface()
jul 19/10:11:17.335 DEBUG2 : 		  ISigEmu::AcquireInterface('ISigEmuVect') (core 0)
jul 19/10:11:17.335 DEBUG2 : 		<- AcquireEmuVectInterface()
jul 19/10:11:17.335 DEBUG2 : 		-> AcquireEmuWptInterface()
jul 19/10:11:17.335 DEBUG2 : 		  ISigEmu::AcquireInterface('ISigEmuWpt')
jul 19/10:11:17.344 DEBUG2 : 		<- AcquireEmuWptInterface()
jul 19/10:11:17.344 DEBUG2 : 		-> AcquirePcSamplerInterface()
jul 19/10:11:17.344 DEBUG2 : 		  ISigEmu::AcquireInterface('ISigPcSampler')
jul 19/10:11:17.347 DEBUG2 : 		<- AcquirePcSamplerInterface()
jul 19/10:11:17.348 DEBUG2 : 		<- ConnectToHardware()
jul 19/10:11:17.348 DEBUG2 : 		<Call to _ExecDevicePreReset: macro undefined
jul 19/10:11:17.348 DEBUG2 : 		<Call to execUserPreReset: macro undefined
jul 19/10:11:17.348 DEBUG2 : 		->   LowLevelReset(disabled, delay 200)
jul 19/10:11:17.348 INFO   : Debug Log(info): LowLevelReset(disabled, delay 200)
jul 19/10:11:17.348 DEBUG2 : 		  core 0: IsigEmu::ParamSet('JtagInitDelay', '200,r:300')
jul 19/10:11:17.351 DEBUG2 : 		LowLevelSoftwareReset(): Core 0: CpuStatus(status = <0x3: CPU_STATUS_MPOWER | CPU_STATUS_MRUN>) = 0
jul 19/10:11:17.351 DEBUG2 : 		Core 0: LowLevelSoftwareReset()
jul 19/10:11:17.393 DEBUG2 : 		LowLevelSoftwareReset(): After CpuStopCore 0: CpuStatus(status = <0x1: CPU_STATUS_MPOWER>) = 0
jul 19/10:11:17.393 DEBUG2 : 		->   LowLevelSoftwareReset(): WaitForCpuResetToComplete(core 0)
jul 19/10:11:17.395 DEBUG2 : 		  LowLevelSoftwareReset(): Core 0: CpuStatus(status = <0x1: CPU_STATUS_MPOWER>) = 0
jul 19/10:11:17.395 DEBUG2 : 		<-   LowLevelSoftwareReset(): WaitForCpuResetToComplete(core 0)
jul 19/10:11:17.399 DEBUG2 : 		ISigPcSampler::GetSample(SIGAPIARM_SAMPLE_CYCLE) = 0x0
jul 19/10:11:17.399 DEBUG2 : 		<-   LowLevelReset(disabled, delay 200)
jul 19/10:11:17.399 DEBUG2 : 		->   StartSession(): WaitForCpuResetToComplete(core 0)
jul 19/10:11:17.401 DEBUG2 : 		  StartSession(): Core 0: CpuStatus(status = <0x1: CPU_STATUS_MPOWER>) = 0
jul 19/10:11:17.401 DEBUG2 : 		<-   StartSession(): WaitForCpuResetToComplete(core 0)
jul 19/10:11:17.403 DEBUG2 : 		StartSession() checking powerCore 0: CpuStatus(status = <0x1: CPU_STATUS_MPOWER>) = 0
jul 19/10:11:17.403 DEBUG2 : 		Core 0: IceInfo(0, ...)
jul 19/10:11:17.423 DEBUG2 : 		============== Starting flash pass 0
jul 19/10:11:17.423 DEBUG2 : 		============== Downloading flashloader
jul 19/10:11:17.424 DEBUG2 : 		<Call to _ExecDeviceFlashInit: macro undefined
jul 19/10:11:17.424 DEBUG2 : 		<Call to execUserFlashInit: macro undefined
jul 19/10:11:17.485 DEBUG2 : 		  WritePostCache(): MemWrite(core 0, 0:0x20000000, 2408 bytes [by 0] = [ 00 70 00 20 8d 08 00 20 ... ])
jul 19/10:11:17.621 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x20000000, 2408 bytes [by 0] = [ 00 70 00 20 8d 08 00 20 ... ])
jul 19/10:11:17.621 DEBUG2 : 		============== Running flashloader
jul 19/10:11:17.621 INFO   : Debug Log(info): Loaded debugee: C:/Users/faisal.tariq/IAR-CMSIS-Packs/Maxim/MAX32672/1.4.1/\FlashIAR\FlashMAX32672.out
jul 19/10:11:17.621 DEBUG2 : 		<Call to _ExecDeviceFlashPreReset: macro undefined
jul 19/10:11:17.621 DEBUG2 : 		<Call to execUserFlashPreReset: macro undefined
jul 19/10:11:17.621 DEBUG2 : 		-> LowLevelReset(0)
jul 19/10:11:17.621 DEBUG2 : 		->   LowLevelReset(software, delay 200)
jul 19/10:11:17.621 DEBUG2 : 		  core 0: IsigEmu::ParamSet('JtagInitDelay', '200,r:300')
jul 19/10:11:17.624 DEBUG2 : 		LowLevelSoftwareReset(): Core 0: CpuStatus(status = <0x1: CPU_STATUS_MPOWER>) = 0
jul 19/10:11:17.624 DEBUG2 : 		  core 0: IsigEmu::ParamSet('ResetStyle', 'SOFTWARE')
jul 19/10:11:17.624 DEBUG2 : 		Core 0: LowLevelSoftwareReset()
jul 19/10:11:17.690 DEBUG2 : 		->   LowLevelSoftwareReset(): WaitForCpuResetToComplete(core 0)
jul 19/10:11:17.724 DEBUG2 : 		  LowLevelSoftwareReset(): Core 0: CpuStatus(status = <0x1: CPU_STATUS_MPOWER>) = 0
jul 19/10:11:17.724 DEBUG2 : 		<-   LowLevelSoftwareReset(): WaitForCpuResetToComplete(core 0)
jul 19/10:11:17.925 DEBUG2 : 		->   LowLevelReset(): WaitForCpuResetToComplete(core 0)
jul 19/10:11:17.927 DEBUG2 : 		  LowLevelReset(): Core 0: CpuStatus(status = <0x1: CPU_STATUS_MPOWER>) = 0
jul 19/10:11:17.927 DEBUG2 : 		<-   LowLevelReset(): WaitForCpuResetToComplete(core 0)
jul 19/10:11:17.931 DEBUG2 : 		ISigPcSampler::GetSample(SIGAPIARM_SAMPLE_CYCLE) = 0x0
jul 19/10:11:17.931 DEBUG2 : 		<-   LowLevelReset(software, delay 200)
jul 19/10:11:17.931 DEBUG2 : 		<- LowLevelReset(0)
jul 19/10:11:17.933 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x20000000, 4 bytes [by 4] = [ 00 70 00 20 ])
jul 19/10:11:17.935 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x20000004, 4 bytes [by 4] = [ 8d 08 00 20 ])
jul 19/10:11:17.935 DEBUG2 : 		CpuRegSet(Core 0, SP_Main ->17) = 0x20007000 (536899584)
jul 19/10:11:17.939 DEBUG2 : 		CpuRegSet(Core 0, PC ->15) = 0x2000088c (536873100)
jul 19/10:11:17.943 DEBUG2 : 		CpuRegGet(Core 0, XPSR ->16) = 0x1000000 (16777216)
jul 19/10:11:17.943 DEBUG2 : 		CpuRegSet(Core 0, XPSR ->16) = 0x1000000 (16777216)
jul 19/10:11:17.947 DEBUG2 : 		CpuRegGet(Core 0, PC -> 15) = 0x622000088c (421443668108)
jul 19/10:11:17.947 INFO   : Debug Log(info): Target reset
jul 19/10:11:17.947 DEBUG2 : 		<Call to _ExecDeviceFlashReset: macro undefined
jul 19/10:11:17.947 DEBUG2 : 		<Call to execUserFlashReset: macro undefined
jul 19/10:11:17.952 DEBUG2 : 		SetCodeBreak(<9:0xf000000000000000>, 1 units, 'C-SPY Terminal I/O && library support module')
jul 19/10:11:17.957 DEBUG2 : 		  WritePostCache(): MemWrite(core 0, 0:0x20006bec, 20 bytes [by 0] = [ 00 00 00 10 00 00 00 00 ... ])
jul 19/10:11:17.963 DEBUG2 : 		Write reg 1 of 1: PC[0x1f0] = 0x2000088c (536873100)
jul 19/10:11:17.963 DEBUG2 : 		CpuRegSet(Core 0, 15, 536873100)
jul 19/10:11:17.967 DEBUG2 : 		CpuRegGet(Core 0, XPSR ->16) = 0x1000000 (16777216)
jul 19/10:11:17.967 DEBUG2 : 		CpuRegSet(Core 0, XPSR ->16) = 0x1000000 (16777216)
jul 19/10:11:17.973 DEBUG2 : 		SetCodeBreak(<0:0x2000083c>, 1 units, '')
jul 19/10:11:17.973 DEBUG2 : 		  SetCodeBreak(): BreakSetAttr(bank 0, count 1, addr 0x2000083c, attr <0x2000d: CPUMODE(THUMB) | SIGEMU_BRK_ATTR_SET | SIGEMU_BRK_ATTR_SW | SIGEMU_BRK_ATTR_HW>)
jul 19/10:11:17.993 DEBUG2 : 		  SetBreakpoint(): BreakGetAttr(bank 0, count 1, addr 0x2000083c, attr <0x20405: CPUMODE(THUMB) | SIGEMU_BRK_ATTR_SET | SIGEMU_BRK_ATTR_SW | SIGEMU_BRK_ATTR_LITTLEENDIAN>)
jul 19/10:11:17.994 DEBUG2 : 		PlDriver::Go(core 0): mIsExecuting[0] = true
jul 19/10:11:17.995 DEBUG2 : 		-> LowLevelGo(core 0)
jul 19/10:11:17.995 DEBUG2 : 		CpuRegGet(Core 0, PC ->15) = 0x2000088c (536873100)
jul 19/10:11:17.997 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x2000088c, 2 bytes [by 2] = [ ff f7 ])
jul 19/10:11:17.999 DEBUG2 : 		  LowLevelGo(core 0) [multi = false], CpuStatus(): Core 0: CpuStatus(status = <0x1: CPU_STATUS_MPOWER>) = 0
jul 19/10:11:17.999 DEBUG2 : 		Core 0:   LowLevelGo(core 0) [multi = false], CpuGo()
jul 19/10:11:18.059 DEBUG2 : 		CpuRegGet(Core 0, PC -> 15) = 0x7200612000083c (32088564493715516)
jul 19/10:11:18.059 DEBUG2 : 		LowLevelGo(core 0): errNo == ERR_OK, cpu status = not running, not sleeping, cpu power = 1 --> Exit LowLevelGo loop
jul 19/10:11:18.059 DEBUG2 : 		LowLevelGo(core 0): Setting single mIsExecuting[0] = false [multi == false]
jul 19/10:11:18.059 DEBUG2 : 		LowLevelGo(core 0): CPU core 0 is now stopped, after 2 polls in 0.003s
jul 19/10:11:18.061 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x2000083c, 2 bytes [by 2] = [ fe e7 ])
jul 19/10:11:18.063 DEBUG2 : 		  GetStopBreaks(): BreakGetAttr(bank 0, count 1, addr 0x2000083c, attr <0x20405: CPUMODE(THUMB) | SIGEMU_BRK_ATTR_SET | SIGEMU_BRK_ATTR_SW | SIGEMU_BRK_ATTR_LITTLEENDIAN>)
jul 19/10:11:18.063 DEBUG2 : 		LowLevelGo(core 0): Stopped at breakpoint
jul 19/10:11:18.063 DEBUG2 : 		<- LowLevelGo(core 0)
jul 19/10:11:18.063 DEBUG2 : 		PlDriver::Go(core 0): goStatus = 0
jul 19/10:11:18.067 DEBUG2 : 		ISigPcSampler::GetSample(SIGAPIARM_SAMPLE_CYCLE) = 0x0
jul 19/10:11:18.073 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x20006bec, 20 bytes [by 0] = [ 00 00 00 10 00 00 04 00 ... ])
jul 19/10:11:18.073 DEBUG2 : 		  WritePostCache(): MemWrite(core 0, 0:0x20000900, 16 bytes [by 0] = [ 00 00 00 10 00 20 00 00 ... ])
jul 19/10:11:18.079 DEBUG2 : 		  WritePostCache(): MemWrite(core 0, 0:0x20006bec, 20 bytes [by 0] = [ 00 00 00 00 02 00 00 00 ... ])
jul 19/10:11:18.085 DEBUG2 : 		Write reg 1 of 1: PC[0x1f0] = 0x2000089c (536873116)
jul 19/10:11:18.085 DEBUG2 : 		CpuRegSet(Core 0, 15, 536873116)
jul 19/10:11:18.089 DEBUG2 : 		CpuRegGet(Core 0, XPSR ->16) = 0x61000000 (1627389952)
jul 19/10:11:18.089 DEBUG2 : 		CpuRegSet(Core 0, XPSR ->16) = 0x61000000 (1627389952)
jul 19/10:11:18.093 DEBUG2 : 		PlDriver::Go(core 0): mIsExecuting[0] = true
jul 19/10:11:18.093 DEBUG2 : 		-> LowLevelGo(core 0)
jul 19/10:11:18.093 DEBUG2 : 		CpuRegGet(Core 0, PC ->15) = 0x2000089c (536873116)
jul 19/10:11:18.095 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x2000089c, 2 bytes [by 2] = [ ff f7 ])
jul 19/10:11:18.097 DEBUG2 : 		  LowLevelGo(core 0) [multi = false], CpuStatus(): Core 0: CpuStatus(status = <0x1: CPU_STATUS_MPOWER>) = 0
jul 19/10:11:18.097 DEBUG2 : 		Core 0:   LowLevelGo(core 0) [multi = false], CpuGo()
jul 19/10:11:18.183 DEBUG2 : 		CpuRegGet(Core 0, PC -> 15) = 0x7900612000083c (34058889330690108)
jul 19/10:11:18.183 DEBUG2 : 		LowLevelGo(core 0): errNo == ERR_OK, cpu status = not running, not sleeping, cpu power = 1 --> Exit LowLevelGo loop
jul 19/10:11:18.183 DEBUG2 : 		LowLevelGo(core 0): Setting single mIsExecuting[0] = false [multi == false]
jul 19/10:11:18.183 DEBUG2 : 		LowLevelGo(core 0): CPU core 0 is now stopped, after 16 polls in 0.03s
jul 19/10:11:18.185 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x2000083c, 2 bytes [by 2] = [ fe e7 ])
jul 19/10:11:18.187 DEBUG2 : 		  GetStopBreaks(): BreakGetAttr(bank 0, count 1, addr 0x2000083c, attr <0x20405: CPUMODE(THUMB) | SIGEMU_BRK_ATTR_SET | SIGEMU_BRK_ATTR_SW | SIGEMU_BRK_ATTR_LITTLEENDIAN>)
jul 19/10:11:18.187 DEBUG2 : 		LowLevelGo(core 0): Stopped at breakpoint
jul 19/10:11:18.187 DEBUG2 : 		<- LowLevelGo(core 0)
jul 19/10:11:18.187 DEBUG2 : 		PlDriver::Go(core 0): goStatus = 0
jul 19/10:11:18.191 DEBUG2 : 		ISigPcSampler::GetSample(SIGAPIARM_SAMPLE_CYCLE) = 0x0
jul 19/10:11:18.197 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x20006bec, 20 bytes [by 0] = [ 00 00 00 00 00 00 00 00 ... ])
jul 19/10:11:18.197 DEBUG2 : 		  WritePostCache(): MemWrite(core 0, 0:0x20000900, 16384 bytes [by 0] = [ 48 49 53 57 45 44 47 44 ... ])
jul 19/10:11:18.650 DEBUG2 : 		  WritePostCache(): MemWrite(core 0, 0:0x20006bec, 20 bytes [by 0] = [ 00 00 00 10 00 40 00 00 ... ])
jul 19/10:11:18.656 DEBUG2 : 		Write reg 1 of 1: PC[0x1f0] = 0x20000894 (536873108)
jul 19/10:11:18.656 DEBUG2 : 		CpuRegSet(Core 0, 15, 536873108)
jul 19/10:11:18.660 DEBUG2 : 		CpuRegGet(Core 0, XPSR ->16) = 0x61000000 (1627389952)
jul 19/10:11:18.660 DEBUG2 : 		CpuRegSet(Core 0, XPSR ->16) = 0x61000000 (1627389952)
jul 19/10:11:18.664 DEBUG2 : 		PlDriver::Go(core 0): mIsExecuting[0] = true
jul 19/10:11:18.664 DEBUG2 : 		-> LowLevelGo(core 0)
jul 19/10:11:18.665 DEBUG2 : 		CpuRegGet(Core 0, PC ->15) = 0x20000894 (536873108)
jul 19/10:11:18.666 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x20000894, 2 bytes [by 2] = [ ff f7 ])
jul 19/10:11:18.668 DEBUG2 : 		  LowLevelGo(core 0) [multi = false], CpuStatus(): Core 0: CpuStatus(status = <0x1: CPU_STATUS_MPOWER>) = 0
jul 19/10:11:18.668 DEBUG2 : 		Core 0:   LowLevelGo(core 0) [multi = false], CpuGo()
jul 19/10:11:18.832 DEBUG2 : 		CpuRegGet(Core 0, PC -> 15) = 0x7900612000083c (34058889330690108)
jul 19/10:11:18.833 DEBUG2 : 		LowLevelGo(core 0): errNo == ERR_OK, cpu status = not running, not sleeping, cpu power = 1 --> Exit LowLevelGo loop
jul 19/10:11:18.833 DEBUG2 : 		LowLevelGo(core 0): Setting single mIsExecuting[0] = false [multi == false]
jul 19/10:11:18.833 DEBUG2 : 		LowLevelGo(core 0): CPU core 0 is now stopped, after 55 polls in 0.108s
jul 19/10:11:18.834 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x2000083c, 2 bytes [by 2] = [ fe e7 ])
jul 19/10:11:18.836 DEBUG2 : 		  GetStopBreaks(): BreakGetAttr(bank 0, count 1, addr 0x2000083c, attr <0x20405: CPUMODE(THUMB) | SIGEMU_BRK_ATTR_SET | SIGEMU_BRK_ATTR_SW | SIGEMU_BRK_ATTR_LITTLEENDIAN>)
jul 19/10:11:18.837 DEBUG2 : 		LowLevelGo(core 0): Stopped at breakpoint
jul 19/10:11:18.837 DEBUG2 : 		<- LowLevelGo(core 0)
jul 19/10:11:18.837 DEBUG2 : 		PlDriver::Go(core 0): goStatus = 0
jul 19/10:11:18.840 DEBUG2 : 		ISigPcSampler::GetSample(SIGAPIARM_SAMPLE_CYCLE) = 0x0
jul 19/10:11:18.846 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x20006bec, 20 bytes [by 0] = [ 00 00 00 10 00 00 00 00 ... ])
jul 19/10:11:18.847 DEBUG2 : 		Write reg 1 of 1: PC[0x1f0] = 0x200008a4 (536873124)
jul 19/10:11:18.847 DEBUG2 : 		CpuRegSet(Core 0, 15, 536873124)
jul 19/10:11:18.850 DEBUG2 : 		CpuRegGet(Core 0, XPSR ->16) = 0x61000000 (1627389952)
jul 19/10:11:18.850 DEBUG2 : 		CpuRegSet(Core 0, XPSR ->16) = 0x61000000 (1627389952)
jul 19/10:11:18.854 DEBUG2 : 		PlDriver::Go(core 0): mIsExecuting[0] = true
jul 19/10:11:18.855 DEBUG2 : 		-> LowLevelGo(core 0)
jul 19/10:11:18.855 DEBUG2 : 		CpuRegGet(Core 0, PC ->15) = 0x200008a4 (536873124)
jul 19/10:11:18.856 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x200008a4, 2 bytes [by 2] = [ ff f7 ])
jul 19/10:11:18.858 DEBUG2 : 		  LowLevelGo(core 0) [multi = false], CpuStatus(): Core 0: CpuStatus(status = <0x1: CPU_STATUS_MPOWER>) = 0
jul 19/10:11:18.858 DEBUG2 : 		Core 0:   LowLevelGo(core 0) [multi = false], CpuGo()
jul 19/10:11:18.916 DEBUG2 : 		CpuRegGet(Core 0, PC -> 15) = 0x7900612000083c (34058889330690108)
jul 19/10:11:18.917 DEBUG2 : 		LowLevelGo(core 0): errNo == ERR_OK, cpu status = not running, not sleeping, cpu power = 1 --> Exit LowLevelGo loop
jul 19/10:11:18.917 DEBUG2 : 		LowLevelGo(core 0): Setting single mIsExecuting[0] = false [multi == false]
jul 19/10:11:18.917 DEBUG2 : 		LowLevelGo(core 0): CPU core 0 is now stopped, after 2 polls in 0.002s
jul 19/10:11:18.918 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x2000083c, 2 bytes [by 2] = [ fe e7 ])
jul 19/10:11:18.920 DEBUG2 : 		  GetStopBreaks(): BreakGetAttr(bank 0, count 1, addr 0x2000083c, attr <0x20405: CPUMODE(THUMB) | SIGEMU_BRK_ATTR_SET | SIGEMU_BRK_ATTR_SW | SIGEMU_BRK_ATTR_LITTLEENDIAN>)
jul 19/10:11:18.921 DEBUG2 : 		LowLevelGo(core 0): Stopped at breakpoint
jul 19/10:11:18.921 DEBUG2 : 		<- LowLevelGo(core 0)
jul 19/10:11:18.921 DEBUG2 : 		PlDriver::Go(core 0): goStatus = 0
jul 19/10:11:18.924 DEBUG2 : 		ISigPcSampler::GetSample(SIGAPIARM_SAMPLE_CYCLE) = 0x0
jul 19/10:11:18.930 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x20006bec, 20 bytes [by 0] = [ 00 00 00 10 00 00 00 00 ... ])
jul 19/10:11:18.942 DEBUG2 : 		CpuRegGet(Core 0, LR -> 14) = 0x200008ad (536873133)
jul 19/10:11:18.943 DEBUG2 : 		CpuRegGet(Core 0, XPSR -> 16) = 0x61000000 (1627389952)
jul 19/10:11:18.943 DEBUG2 : 		CpuRegGet(Core 0, SP_Main -> 17) = 0x20007000 (536899584)
jul 19/10:11:18.943 DEBUG2 : 		CpuRegGet(Core 0, SP_Proc -> 18) = 0x0 (0)
jul 19/10:11:18.963 DEBUG2 : 		ClearCodeBreak(<0:0x2000083c>, 1 units)
jul 19/10:11:18.963 DEBUG2 : 		  ClearCodeBreak(): BreakClr(bank 0, count 1, addr 0x2000083c)
jul 19/10:11:18.970 DEBUG2 : 		<Call to _ExecDeviceFlashExit: macro undefined
jul 19/10:11:18.971 DEBUG2 : 		<Call to execUserFlashExit: macro undefined
jul 19/10:11:18.973 INFO   : Debug Log(info): Downloaded C:\IAR_Examples\MAX32672_1.4.1_1\Hello_World\IAR\Rev_A\Exe\Hello_World.out to flash memory.
jul 19/10:11:18.973 INFO   : Debug Log(info): 9296 bytes downloaded into FLASH (3.89 Kbytes/sec)
jul 19/10:11:18.995 DEBUG2 : 		============== Finishing flash pass
jul 19/10:11:18.995 DEBUG2 : 		============== Start loading application
jul 19/10:11:18.995 DEBUG2 : 		PrepareDownload()
jul 19/10:11:18.996 DEBUG2 : 		->   LowLevelReset(disabled, delay 200)
jul 19/10:11:18.996 DEBUG2 : 		  core 0: IsigEmu::ParamSet('JtagInitDelay', '200,r:300')
jul 19/10:11:18.997 DEBUG2 : 		LowLevelSoftwareReset(): Core 0: CpuStatus(status = <0x1: CPU_STATUS_MPOWER>) = 0
